,Descargá este archivo para editar haciendo click en Archivo/Descargar/Descargar como Excel,Lista de Precios,,,,Coef.costo,"0,63000",,Bonficacion General,"30,00 %"
,,,,,,Aumento,,,Descuento de Caja,"10,00 %"
,,Cotizador General,,,,Margen,,,IVA,
,,,,,,Coef./vta,"1,00000",,Descuento Extra,
,,1 de abril de 2026,,,,COTIZADOR,,,Total,"0,00"
Cód.,Rubro,Detalle Patron,Detalle Artículo,Precio,,Dto Extra,Costo,Venta,Cant.,SubTotal
92684,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,PASE DE LOSA CORTAFUEGO 160,"637168,62",,,"401416,23","401.416,23",,"0,00"
92689,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,RAPICLACK GRAPA FIJA D. 110,"2659,52",,,"1675,50","1.675,50",,"0,00"
92690,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,RAPLICLACK GRAPA FIJA D. 160,"5227,15",,,"3293,10","3.293,10",,"0,00"
92692,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,BASE DE INODORO 0.25 X 0.50,"2681,43",,,"1689,30","1.689,30",,"0,00"
92695,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,RAPIC.GRAPA FIJA D.40/50/58/63,"1618,22",,,"1019,48","1.019,48",,"0,00"
92699,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,"CURVA 87º30 MH C/SUJECION, BAS","23487,51",,,"14797,13","14.797,13",,"0,00"
93621,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,RAMAL DOBLE 87º30' MH 110x110,"22007,64",,,"13864,81","13.864,81",,"0,00"
93622,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,RAMAL ESQUINERO 87°30 110X110,"118829,52",,,"74862,60","74.862,60",,"0,00"
94602,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,O'RING DOBLE LABIO MOL 58,"2654,33",,,"1672,23","1.672,23",,"0,00"
94605,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,O'RING DOBLE LABIO MOL 110,"4083,86",,,"2572,83","2.572,83",,"0,00"
94606,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,O'RING DOBLE LABIO MOL 160,"25427,87",,,"16019,56","16.019,56",,"0,00"
94607,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,O'RING DOBLE LABIO MOL 200,"33005,22",,,"20793,29","20.793,29",,"0,00"
