,Descargá este archivo para editar haciendo click en Archivo/Descargar/Descargar como Excel,Lista de Precios,,,,Coef.costo,"0,63000",,Bonficacion General,"30,00 %"
,,,,,,Aumento,,,Descuento de Caja,"10,00 %"
,,Cotizador General,,,,Margen,,,IVA,
,,,,,,Coef./vta,"1,00000",,Descuento Extra,
,,1 de abril de 2026,,,,COTIZADOR,,,Total,"0,00"
Cód.,Rubro,Detalle Patron,Detalle Artículo,Precio,,Dto Extra,Costo,Venta,Cant.,SubTotal
1106,A02 TERMOFUSION SIST,TIRA FUSION,63 PN20 TIGRE AC (A),"59253,34",,,"37329,60","37.329,60",,"0,00"
1107,A02 TERMOFUSION SIST,TIRA FUSION,75 PN20TIGRE AC (A),"92682,65",,,"58390,07","58.390,07",,"0,00"
1108,A02 TERMOFUSION SIST,TIRA FUSION,90 PN20 TIGRE AC (A),"132391,54",,,"83406,67","83.406,67",,"0,00"
1111,A02 TERMOFUSION SIST,TIRA FUSION,20 PN12.5 TIGRE (A),"6140,99",,,"3868,82","3.868,82",,"0,00"
1112,A02 TERMOFUSION SIST,TIRA FUSION,25 PN12.5 TIGRE (A),"8591,63",,,"5412,73","5.412,73",,"0,00"
1113,A02 TERMOFUSION SIST,TIRA FUSION,32 PN12.5 TIGRE (A),"12648,88",,,"7968,79","7.968,79",,"0,00"
1114,A02 TERMOFUSION SIST,TIRA FUSION,40 PN12.5 TIGRE (A),"20273,93",,,"12772,58","12.772,58",,"0,00"
1115,A02 TERMOFUSION SIST,TIRA FUSION,50 PN12.5 TIGRE (A),"27174,63",,,"17120,02","17.120,02",,"0,00"
1116,A02 TERMOFUSION SIST,TIRA FUSION,63 PN12.5 TIGRE (A),"42111,89",,,"26530,49","26.530,49",,"0,00"
1117,A02 TERMOFUSION SIST,TIRA FUSION,75 PN12.5 TIGRE (A),"60331,26",,,"38008,69","38.008,69",,"0,00"
1118,A02 TERMOFUSION SIST,TIRA FUSION,90 PN12.5 TIGRE (A),"87952,7",,,"55410,20","55.410,20",,"0,00"
1119,A02 TERMOFUSION SIST,TIRA FUSION,BETA 110  PN 12.5 (A),"126269,09",,,"79549,53","79.549,53",,"0,00"
1121,A02 TERMOFUSION SIST,TIRA FUSION,20 PN25 TIGRE AT (A),"8185,38",,,"5156,79","5.156,79",,"0,00"
1122,A02 TERMOFUSION SIST,TIRA FUSION,25 PN25 TIGRE AT (A),"12176,22",,,"7671,02","7.671,02",,"0,00"
1123,A02 TERMOFUSION SIST,TIRA FUSION,32 PN25 TIGRE AT (A),"18956,54",,,"11942,62","11.942,62",,"0,00"
1124,A02 TERMOFUSION SIST,TIRA FUSION,40 PN25 TIGRE AT (A),"28873,04",,,"18190,02","18.190,02",,"0,00"
1125,A02 TERMOFUSION SIST,TIRA FUSION,50 PN25 TIGRE AT (A),"43916,84",,,"27667,61","27.667,61",,"0,00"
1126,A02 TERMOFUSION SIST,TIRA FUSION,63 PN25 TIGRE AT (A),"69750,9",,,"43943,07","43.943,07",,"0,00"
1127,A02 TERMOFUSION SIST,TIRA FUSION,75 PN25 TIGRE AT (A),"107761,06",,,"67889,47","67.889,47",,"0,00"
1128,A02 TERMOFUSION SIST,TIRA FUSION,90 PN25 TIGRE AT (A),"142004,24",,,"89462,67","89.462,67",,"0,00"
1129,A02 TERMOFUSION SIST,TIRA FUSION,BETA 110 PN 20 (A),"191346,98",,,"120548,60","120.548,60",,"0,00"
1401,A02 TERMOFUSION SIST,TIRA FUSION,MAXUM S3.2 DIAM.20.4MTS.,"11078,77",,,"6979,63","6.979,63",,"0,00"
1402,A02 TERMOFUSION SIST,TIRA FUSION,MAXUM S3.2 DIAM.25.4MTS.,"16092,04",,,"10137,99","10.137,99",,"0,00"
1403,A02 TERMOFUSION SIST,TIRA FUSION,MAXUM S3.2 DIAM.32.4MTS.,"25009,7",,,"15756,11","15.756,11",,"0,00"
1404,A02 TERMOFUSION SIST,TIRA FUSION,MAXUM S3.2 DIAM.40.4MTS.,"37720,99",,,"23764,22","23.764,22",,"0,00"
1405,A02 TERMOFUSION SIST,TIRA FUSION,MAXUM S3.2 DIAM.50.4MTS.,"49631,61",,,"31267,91","31.267,91",,"0,00"
1406,A02 TERMOFUSION SIST,TIRA FUSION,MAXUM S3.2 DIAM.63.4MTS.,"69972,54",,,"44082,70","44.082,70",,"0,00"
12547,A02 TERMOFUSION SIST,TUBO C/MEDIA UNION,20X1/2 FUSION TIGRE,"15014,79",,,"9459,32","9.459,32",,"0,00"
12549,A02 TERMOFUSION SIST,TUBO C/MEDIA UNION,25X3/4 FUSION TIGRE,"18914,05",,,"11915,85","11.915,85",,"0,00"
12550,A02 TERMOFUSION SIST,TUBO C/MEDIA UNION, 32X1 FUSION TIGRE,"20393,8",,,"12848,09","12.848,09",,"0,00"
12680,A02 TERMOFUSION SIST,TUBO HEMBRA,20x3/8 FUSION TIGRE**,"2299,04",,,"1448,40","1.448,40",,"0,00"
12681,A02 TERMOFUSION SIST,TUBO HEMBRA,20x1/2 FUSION TIGRE**,"2570,29",,,"1619,28","1.619,28",,"0,00"
12682,A02 TERMOFUSION SIST,TUBO HEMBRA,20x3/4 FUSION TIGRE,"3937,19",,,"2480,43","2.480,43",,"0,00"
12683,A02 TERMOFUSION SIST,TUBO HEMBRA,25x1/2 FUSION TIGRE,"3264,95",,,"2056,92","2.056,92",,"0,00"
12684,A02 TERMOFUSION SIST,TUBO HEMBRA,25x3/4 FUSION TIGRE*,"3708,58",,,"2336,41","2.336,41",,"0,00"
12686,A02 TERMOFUSION SIST,TUBO HEMBRA,32x3/4 FUSION TIGRE,"6483,01",,,"4084,30","4.084,30",,"0,00"
12687,A02 TERMOFUSION SIST,TUBO HEMBRA,32x1 FUSION TIGRE,"6535,57",,,"4117,41","4.117,41",,"0,00"
12688,A02 TERMOFUSION SIST,TUBO HEMBRA,40x11/4 FUSION TIGRE,"20102,58",,,"12664,63","12.664,63",,"0,00"
12689,A02 TERMOFUSION SIST,TUBO HEMBRA,50x11/2 FUSION TIGRE,"27840,57",,,"17539,56","17.539,56",,"0,00"
12690,A02 TERMOFUSION SIST,TUBO HEMBRA,63x2 FUSION TIGRE,"36616,51",,,"23068,40","23.068,40",,"0,00"
12692,A02 TERMOFUSION SIST,TUBO HEMBRA,75x21/2 FUSION TIGRE,"84517,08",,,"53245,76","53.245,76",,"0,00"
12693,A02 TERMOFUSION SIST,TUBO HEMBRA,90x3 FUSION TIGRE,"92360,45",,,"58187,08","58.187,08",,"0,00"
12601,A02 TERMOFUSION SIST,TUBO MACHO,20x1/2 FUSION TIGRE**,"3675,01",,,"2315,26","2.315,26",,"0,00"
12602,A02 TERMOFUSION SIST,TUBO MACHO,20x3/4 FUSION TIGRE,"5706,1",,,"3594,84","3.594,84",,"0,00"
12603,A02 TERMOFUSION SIST,TUBO MACHO,25x1/2 FUSION TIGRE,"4172,82",,,"2628,88","2.628,88",,"0,00"
12604,A02 TERMOFUSION SIST,TUBO MACHO,25x3/4 FUSION TIGRE*,"5301,81",,,"3340,14","3.340,14",,"0,00"
12606,A02 TERMOFUSION SIST,TUBO MACHO,32x3/4 FUSION TIGRE,"8078,53",,,"5089,47","5.089,47",,"0,00"
12607,A02 TERMOFUSION SIST,TUBO MACHO,32x1 FUSION TIGRE**,"9135,3",,,"5755,24","5.755,24",,"0,00"
12608,A02 TERMOFUSION SIST,TUBO MACHO,40x11/4 FUSION TIGRE,"22238,14",,,"14010,03","14.010,03",,"0,00"
12609,A02 TERMOFUSION SIST,TUBO MACHO,50x11/2 FUSION TIGRE*,"29587,27",,,"18639,98","18.639,98",,"0,00"
12610,A02 TERMOFUSION SIST,TUBO MACHO,63x2 FUSION TIGRE,"47179,34",,,"29722,98","29.722,98",,"0,00"
12612,A02 TERMOFUSION SIST,TUBO MACHO,75x21/2 FUSION TIGRE*,"103325,64",,,"65095,15","65.095,15",,"0,00"
12613,A02 TERMOFUSION SIST,TUBO MACHO,90x3 FUSION TIGRE,"113882,5",,,"71745,98","71.745,98",,"0,00"
12614,A02 TERMOFUSION SIST,TUBO MACHO,110x4 FUSION TIGRE**,"155294,31",,,"97835,42","97.835,42",,"0,00"
12639,A02 TERMOFUSION SIST,UNION D.MIX.C/B.,110X4 FUSION TIGRE,"298198,42",,,"187865,00","187.865,00",,"0,00"
12622,A02 TERMOFUSION SIST,UNION DOBLE C/BRIDA,110 FUSION TIGRE,"272932,29",,,"171947,34","171.947,34",,"0,00"
12623,A02 TERMOFUSION SIST,UNION DOBLE C/BRIDA,40 FUSION TIGRE,"72090,48",,,"45417,00","45.417,00",,"0,00"
12624,A02 TERMOFUSION SIST,UNION DOBLE C/BRIDA,50 FUSION TIGRE,"89956,51",,,"56672,60","56.672,60",,"0,00"
12625,A02 TERMOFUSION SIST,UNION DOBLE C/BRIDA,63 FUSION TIGRE,"98019,39",,,"61752,22","61.752,22",,"0,00"
12626,A02 TERMOFUSION SIST,UNION DOBLE C/BRIDA,75 FUSION TIGRE,"120738,34",,,"76065,15","76.065,15",,"0,00"
12627,A02 TERMOFUSION SIST,UNION DOBLE C/BRIDA,90 FUSION TIGRE,"175311,09",,,"110445,99","110.445,99",,"0,00"
12551,A02 TERMOFUSION SIST,UNION DOBLE FUSION,20 FUSION C.MET.TIGRE,"14680,79",,,"9248,90","9.248,90",,"0,00"
12552,A02 TERMOFUSION SIST,UNION DOBLE FUSION,25 FUSION C. MET.TIGRE,"19035,71",,,"11992,50","11.992,50",,"0,00"
12553,A02 TERMOFUSION SIST,UNION DOBLE FUSION,32 FUSION C.MET.TIGRE,"31752,67",,,"20004,18","20.004,18",,"0,00"
12661,A02 TERMOFUSION SIST,UNION DOBLE FUSION,20 FUSION PLASTICO TIGRE,"3389,34",,,"2135,28","2.135,28",,"0,00"
12662,A02 TERMOFUSION SIST,UNION DOBLE FUSION,25 FUSION PLASTICA TIGRE,"3728,27",,,"2348,81","2.348,81",,"0,00"
12663,A02 TERMOFUSION SIST,UNION DOBLE FUSION,32 FUSION PLASTICA TIGRE,"4102,15",,,"2584,35","2.584,35",,"0,00"
12554,A02 TERMOFUSION SIST,UNION DOBLE MIXTA,20x1/2 FUSION PLASTICA TIGRE,"2702,47",,,"1702,56","1.702,56",,"0,00"
12555,A02 TERMOFUSION SIST,UNION DOBLE MIXTA,25x3/4 FUSION PLASTICA TIGRE,"3429,43",,,"2160,54","2.160,54",,"0,00"
12556,A02 TERMOFUSION SIST,UNION DOBLE MIXTA,32x1 FUSION PLASTICA TIGRE,"5076,05",,,"3197,91","3.197,91",,"0,00"
12615,A02 TERMOFUSION SIST,UNION DOBLE MIXTA,20x1/2 FUSION TIGRE,"21509,9",,,"13551,24","13.551,24",,"0,00"
12616,A02 TERMOFUSION SIST,UNION DOBLE MIXTA,25x3/4 FUSION TIGRE,"24599,19",,,"15497,49","15.497,49",,"0,00"
12617,A02 TERMOFUSION SIST,UNION DOBLE MIXTA,32x1 FUSION TIGRE,"49198,36",,,"30994,97","30.994,97",,"0,00"
12531,A02 TERMOFUSION SIST,UNION NORMAL,20 FUSION TIGRE,"317,33",,,"199,92","199,92",,"0,00"
12532,A02 TERMOFUSION SIST,UNION NORMAL,25 FUSION TIGRE*,"487,68",,,"307,24","307,24",,"0,00"
12533,A02 TERMOFUSION SIST,UNION NORMAL,32 FUSION TIGRE,"765,37",,,"482,18","482,18",,"0,00"
12534,A02 TERMOFUSION SIST,UNION NORMAL,40 FUSION TIGRE,"1779,93",,,"1121,36","1.121,36",,"0,00"
12535,A02 TERMOFUSION SIST,UNION NORMAL,50 FUSION TIGRE,"2821,73",,,"1777,69","1.777,69",,"0,00"
12536,A02 TERMOFUSION SIST,UNION NORMAL,63 FUSION TIGRE,"5207,09",,,"3280,47","3.280,47",,"0,00"
12537,A02 TERMOFUSION SIST,UNION NORMAL,75 FUSION TIGRE,"11737,72",,,"7394,76","7.394,76",,"0,00"
12538,A02 TERMOFUSION SIST,UNION NORMAL,90 FUSION TIGRE,"17450,64",,,"10993,90","10.993,90",,"0,00"
12559,A02 TERMOFUSION SIST,UNION NORMAL,110MM FUSION TIGRE,"29936,83",,,"18860,20","18.860,20",,"0,00"
12823,A02 TERMOFUSION SIST,VALVULA ESF.,VALVULA ESF. PPR 32 IMP C/MAN,"28787,77",,,"18136,30","18.136,30",,"0,00"
12824,A02 TERMOFUSION SIST,VALVULA ESF.,VALVULA ESF. PPR 40 IMP C/MAN,"55188,82",,,"34768,96","34.768,96",,"0,00"
12825,A02 TERMOFUSION SIST,VALVULA ESF.,VALVULA ESF. PPR 50 IMP C/MAN,"88343,74",,,"55656,56","55.656,56",,"0,00"
12826,A02 TERMOFUSION SIST,VALVULA ESF.,VALVULA ESF. PPR 63 IMP C/MAN,"119663,78",,,"75388,18","75.388,18",,"0,00"
12827,A02 TERMOFUSION SIST,VALVULA ESF.,VALVULA ESF. PPR 75 IMP C/MAN,"231733,52",,,"145992,12","145.992,12",,"0,00"
12831,A02 TERMOFUSION SIST,VALVULA ESF.,DOBLE UNION 20 CUERPO MET.,"20294,49",,,"12785,53","12.785,53",,"0,00"
12832,A02 TERMOFUSION SIST,VALVULA ESF.,DOBLE UNION 25 CUERPO MET.,"23407,16",,,"14746,51","14.746,51",,"0,00"
12833,A02 TERMOFUSION SIST,VALVULA ESF.,DOBLE UNION 32 CUERPO MET.,"37545,86",,,"23653,89","23.653,89",,"0,00"
12774,A02 TERMOFUSION SIST,VALVULA ESF.MET.,VALV.ESF VOLANTE MET 25MM IPS,"31612,34",,,"19915,77","19.915,77",,"0,00"
12777,A02 TERMOFUSION SIST,VALVULA ESF.MET.,VALVULA ESF VOLANTE 25MM IPS,"47287,32",,,"29791,01","29.791,01",,"0,00"
12781,A02 TERMOFUSION SIST,VALVULA ESF.MET.,20 FUSION TIGRE**,"24563,4",,,"15474,94","15.474,94",,"0,00"
12782,A02 TERMOFUSION SIST,VALVULA ESF.MET.,25 FUSION TIGRE*,"26712,75",,,"16829,03","16.829,03",,"0,00"
88100,A03 SALADILLO HIDRO3 SIST,AISLACION P/PISOS RADIANTES,MEMBRANA TERM.ROLLO1X20MTS.,"91703,33",,,"57773,10","57.773,10",,"0,00"
6163,A03 SALADILLO HIDRO3 SIST,BANDA,TERMOAISL.4.10M H3 P/EMBUTIR,"10485,78",,,"6606,04","6.606,04",,"0,00"
6164,A03 SALADILLO HIDRO3 SIST,BANDA,TERMOAISL.4. 7M H3 P/EXT*,"11895,94",,,"7494,44","7.494,44",,"0,00"
84504,A03 SALADILLO HIDRO3 SIST,BOQUILLA H3 FUSION,kit (21/2-3-4-5),"18656,29",,,"11753,46","11.753,46",,"0,00"
84506,A03 SALADILLO HIDRO3 SIST,BOQUILLA H3 FUSION,5 F,"274445,42",,,"172900,61","172.900,61",,"0,00"
84508,A03 SALADILLO HIDRO3 SIST,BOQUILLA H3 FUSION,21/2  F,"116139,96",,,"73168,17","73.168,17",,"0,00"
84509,A03 SALADILLO HIDRO3 SIST,BOQUILLA H3 FUSION,3/8 F,"8059,72",,,"5077,62","5.077,62",,"0,00"
84510,A03 SALADILLO HIDRO3 SIST,BOQUILLA H3 FUSION,3 F,"182203,25",,,"114788,05","114.788,05",,"0,00"
84514,A03 SALADILLO HIDRO3 SIST,BOQUILLA H3 FUSION,11/4 F,"20555,54",,,"12949,99","12.949,99",,"0,00"
84515,A03 SALADILLO HIDRO3 SIST,BOQUILLA H3 FUSION,11/2 F,"30133,46",,,"18984,08","18.984,08",,"0,00"
84516,A03 SALADILLO HIDRO3 SIST,BOQUILLA H3 FUSION,2 F,"47395,7",,,"29859,29","29.859,29",,"0,00"
84517,A03 SALADILLO HIDRO3 SIST,BOQUILLA H3 FUSION,1/2 F,"8059,72",,,"5077,62","5.077,62",,"0,00"
84518,A03 SALADILLO HIDRO3 SIST,BOQUILLA H3 FUSION,3/4 F,"9623,71",,,"6062,94","6.062,94",,"0,00"
84519,A03 SALADILLO HIDRO3 SIST,BOQUILLA H3 FUSION,1 F,"14743,98",,,"9288,71","9.288,71",,"0,00"
84110,A03 SALADILLO HIDRO3 SIST,BOQUILLA MONTURA DERIV.,2.1,"60547,7",,,"38145,05","38.145,05",,"0,00"
84111,A03 SALADILLO HIDRO3 SIST,BOQUILLA MONTURA DERIV.,21/2.1,"60925,19",,,"38382,87","38.382,87",,"0,00"
84112,A03 SALADILLO HIDRO3 SIST,BOQUILLA MONTURA DERIV.,3.1,"61700,99",,,"38871,62","38.871,62",,"0,00"
84113,A03 SALADILLO HIDRO3 SIST,BOQUILLA MONTURA DERIV.,4.1,"59447,91",,,"37452,18","37.452,18",,"0,00"
84186,A03 SALADILLO HIDRO3 SIST,BUJE RED.,H3 3/4.3/8 FF,"450,43",,,"283,77","283,77",,"0,00"
84187,A03 SALADILLO HIDRO3 SIST,BUJE RED.,H3 1.3/8 FF,"502,29",,,"316,44","316,44",,"0,00"
84170,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,1/2.3/8  FF,"443,53",,,"279,42","279,42",,"0,00"
84171,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,3/4.1/2  FF,"443,57",,,"279,45","279,45",,"0,00"
84172,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,1.3/4  FF,"559,22",,,"352,31","352,31",,"0,00"
84173,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,1.1/2  FF,"725,25",,,"456,91","456,91",,"0,00"
84174,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,11/4.1    FF,"717,93",,,"452,30","452,30",,"0,00"
84175,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,11/2.1  FF,"1763,43",,,"1110,96","1.110,96",,"0,00"
84176,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,2.11/4 FF,"2187,94",,,"1378,40","1.378,40",,"0,00"
84177,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,2.11/2 FF,"1990,96",,,"1254,30","1.254,30",,"0,00"
84178,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,11/2.11/4 FF,"1731,38",,,"1090,77","1.090,77",,"0,00"
84179,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,11/4.3/4  FF,"876,59",,,"552,25","552,25",,"0,00"
84180,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,2.1    FF,"2125,71",,,"1339,20","1.339,20",,"0,00"
84181,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,3.2    FF,"6849,8",,,"4315,37","4.315,37",,"0,00"
84182,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,3.11/2 FF,"8313,36",,,"5237,42","5.237,42",,"0,00"
84183,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,11/2.3/4  FF,"1867,93",,,"1176,80","1.176,80",,"0,00"
84184,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,3.21/2 FF,"4965,88",,,"3128,50","3.128,50",,"0,00"
84185,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,21/2.2    FF,"4599,22",,,"2897,51","2.897,51",,"0,00"
84190,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3, 3.4 FF,"9825,65",,,"6190,16","6.190,16",,"0,00"
84191,A03 SALADILLO HIDRO3 SIST,BUJE RED.SAL.H3,4.5 FF,19611,,,"12354,93","12.354,93",,"0,00"
84070,A03 SALADILLO HIDRO3 SIST,CODO 1/2 UNION 90° H3,1/2R(H)METAL,"8976,11",,,"5654,95","5.654,95",,"0,00"
84071,A03 SALADILLO HIDRO3 SIST,CODO 1/2 UNION 90° H3,3/4R(H)METAL,"16712,9",,,"10529,13","10.529,13",,"0,00"
84072,A03 SALADILLO HIDRO3 SIST,CODO 1/2 UNION 90° H3,1R(H)METAL,"20072,16",,,"12645,46","12.645,46",,"0,00"
84400,A03 SALADILLO HIDRO3 SIST,CODO 45º H3,3/8 FF,"1056,09",,,"665,34","665,34",,"0,00"
84401,A03 SALADILLO HIDRO3 SIST,CODO 45º H3,1/2 FF,"1057,28",,,"666,09","666,09",,"0,00"
84402,A03 SALADILLO HIDRO3 SIST,CODO 45º H3,3/4 FF,"1335,52",,,"841,38","841,38",,"0,00"
84403,A03 SALADILLO HIDRO3 SIST,CODO 45º H3,1 FF,"1993,61",,,"1255,97","1.255,97",,"0,00"
84404,A03 SALADILLO HIDRO3 SIST,CODO 45º H3,11/4 FF,"3367,06",,,"2121,25","2.121,25",,"0,00"
84405,A03 SALADILLO HIDRO3 SIST,CODO 45º H3,11/2 FF,"5755,17",,,"3625,76","3.625,76",,"0,00"
84406,A03 SALADILLO HIDRO3 SIST,CODO 45º H3,2 FF,"8599,15",,,"5417,46","5.417,46",,"0,00"
84407,A03 SALADILLO HIDRO3 SIST,CODO 45º H3,21/2 FF,"12248,84",,,"7716,77","7.716,77",,"0,00"
84408,A03 SALADILLO HIDRO3 SIST,CODO 45º H3,3 FF,"24765,3",,,"15602,14","15.602,14",,"0,00"
84409,A03 SALADILLO HIDRO3 SIST,CODO 45º H3,4 FF,"29776,74",,,"18759,35","18.759,35",,"0,00"
84413,A03 SALADILLO HIDRO3 SIST,CODO 45º H3,5 FF,"57931,52",,,"36496,86","36.496,86",,"0,00"
84000,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,3/8 FF,"519,89",,,"327,53","327,53",,"0,00"
84001,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,1/2 FF**,"519,87",,,"327,52","327,52",,"0,00"
84002,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,3/4 FF**,"843,07",,,"531,13","531,13",,"0,00"
84003,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,1 FF,"1283,41",,,"808,55","808,55",,"0,00"
84004,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,11/4 FF,"2894,76",,,"1823,70","1.823,70",,"0,00"
84005,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,11/2 FF,"5397,94",,,"3400,70","3.400,70",,"0,00"
84006,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,2 FF,"8211,88",,,"5173,48","5.173,48",,"0,00"
84007,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,21/2 FF,"19842,26",,,"12500,62","12.500,62",,"0,00"
84008,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,3 FF,"36196,86",,,"22804,02","22.804,02",,"0,00"
84350,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,3/8 F/R.(H) METAL,"2630,69",,,"1657,33","1.657,33",,"0,00"
84351,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,1/2 F/R.(H)METAL**,"2617,89",,,"1649,27","1.649,27",,"0,00"
84352,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,3/4 F/R(H)METAL**,"3883,93",,,"2446,88","2.446,88",,"0,00"
84353,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,1 F/R(H)METAL,"7622,47",,,"4802,16","4.802,16",,"0,00"
84354,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,11/4 F/R(H)METAL,"28129,2",,,"17721,40","17.721,40",,"0,00"
84355,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,11/2 F/R(H)METAL,"41381,16",,,"26070,13","26.070,13",,"0,00"
84356,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,2 F/R(H)METAL,"56281,95",,,"35457,63","35.457,63",,"0,00"
84360,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,3 F/R(H)METAL,"95110,5",,,"59919,62","59.919,62",,"0,00"
84390,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,1/2 F/R(M)METAL,"3534,12",,,"2226,50","2.226,50",,"0,00"
84391,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,3/4 F/R(M)METAL,"5140,29",,,"3238,38","3.238,38",,"0,00"
84392,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,1 F/R(M)METAL,"13513,94",,,"8513,78","8.513,78",,"0,00"
84393,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,11/4 F/R(M)METAL,"30811,65",,,"19411,34","19.411,34",,"0,00"
84394,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,11/2 F/R(M)METAL,"42701,9",,,"26902,20","26.902,20",,"0,00"
84395,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,2 F/R(M)METAL,"59391,02",,,"37416,34","37.416,34",,"0,00"
84397,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,3 F/R(M)METAL,"127121,24",,,"80086,38","80.086,38",,"0,00"
84601,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,1/2 C/BASE - FRMH,"4064,81",,,"2560,83","2.560,83",,"0,00"
84602,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,1/2 C/BASE - FRMH LARGO,"4084,56",,,"2573,27","2.573,27",,"0,00"
84603,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,1/2 C/BASE - FRMH EXTRA LARGO,"4109,23",,,"2588,81","2.588,81",,"0,00"
84606,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,3/4 C/BASE - FRMH,"7127,42",,,"4490,27","4.490,27",,"0,00"
84607,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,3/4 C/BASE - FRMH LARGO,"8359,76",,,"5266,65","5.266,65",,"0,00"
84608,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,3/4 C/BASE - FRMH EXTRA LARGO,"8419,02",,,"5303,98","5.303,98",,"0,00"
85001,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,1/2 F/R(H)PLASTICA,"983,12",,,"619,37","619,37",,"0,00"
85002,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,3/4 F/R(H)PLASTICA,"1579,53",,,"995,10","995,10",,"0,00"
85003,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,1 F/R(H)PLASTICA,"2437,63",,,"1535,71","1.535,71",,"0,00"
85004,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,11/4 F/R(H)PLASTICA,"5675,25",,,"3575,41","3.575,41",,"0,00"
85005,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,11/2 F/R(H)PLASTICA,"9836,96",,,"6197,28","6.197,28",,"0,00"
85006,A03 SALADILLO HIDRO3 SIST,CODO H3 90°,2 F/R(H)PLASTICA,"14759,54",,,"9298,51","9.298,51",,"0,00"
84081,A03 SALADILLO HIDRO3 SIST,CODO H3 PROLONG.,90°1/2 F/R (H) MET.(BASE Y SOP,"20209,02",,,"12731,68","12.731,68",,"0,00"
84357,A03 SALADILLO HIDRO3 SIST,CODO H3 PROLONG.,90° 1/2 F/R(H)MET.,"4098,76",,,"2582,22","2.582,22",,"0,00"
84358,A03 SALADILLO HIDRO3 SIST,CODO H3 PROLONG.,90° 3/4 F/R(H)MET.,"6603,21",,,"4160,02","4.160,02",,"0,00"
84060,A03 SALADILLO HIDRO3 SIST,CODO RED.H3 90,3/4.1/2  FF,"1124,36",,,"708,35","708,35",,"0,00"
84061,A03 SALADILLO HIDRO3 SIST,CODO RED.H3 90,1.3/4  FF,"1871,03",,,"1178,75","1.178,75",,"0,00"
84062,A03 SALADILLO HIDRO3 SIST,CODO RED.H3 90,11/4.1     FF,"4430,63",,,"2791,30","2.791,30",,"0,00"
84063,A03 SALADILLO HIDRO3 SIST,CODO RED.H3 90,11/2.11/4 FF,"8310,93",,,"5235,89","5.235,89",,"0,00"
84064,A03 SALADILLO HIDRO3 SIST,CODO RED.H3 90,2.11/2 FF,"12092,63",,,"7618,36","7.618,36",,"0,00"
84065,A03 SALADILLO HIDRO3 SIST,CODO RED.H3 90, 3.2    FF,"59013,69",,,"37178,62","37.178,62",,"0,00"
